abacus	n．算盘
deflate	v. 放气,抽出空气,使缩小
deflated	a.灰心丧气的
deflect	v.偏离，转向
deflection	n．转向，偏斜
defoliant	n.脱叶剂
defoliate	v.使落叶
defoliator	n.落叶剂
deforest	v.毁掉…的森林
deforestation	n.采伐森林
deform	v.使变形
defraud	v.欺骗某人
defray	v.付款：支付
defrock	v.免去圣职
defrost	v.除霜,解冻
deft	a.灵巧的，熟练的
defunct	adj．死亡的，过时的
defuse	v.从(爆破装置)中卸除引信；缓和紧张状态或危急局面
defy	v.违抗，藐视
degenerate	v.退步,堕落
degradation	n.降低身份，受辱
degrade	v．降格，降级
degraded	v.使丢脸
degree	n.度数；程度；学位
dehumanize	v．使失掉人性
dehydrate	v.除去水分，脱水
deice	v.防冰，除冰
deification	n．神化，崇拜
deify	v.奉为神；崇拜
deign	v.屈尊，惠允(做某事)
deity	n．神，神性
dejected	a.沮丧的，失望的
dejection	n．沮丧，颓丧
delay	v.使延期
delectable	a.（食物）赏心悦目的
delectation	n．享受，愉快
delegate	n.代表；v.委派…为代表，授权
delete	v．删除
deleterious	a.(对身心)有害的，有毒的
deliberate	a.深思熟虑的;故意的；v.慎重考虑
delicacy	n.细嫩；精致，优雅
delicate	a.娇嫩的；精致的，优美的
delicious	a.美味可口的；芬芳的；有趣味的，妙的
delight	n.欣喜，愉快；嗜好 v.(使)喜悦
delimit	v.定界，划界
delineate	v.描画
delinguent	a.疏忽职务的,有过失的,
delinquency	n.失职，过失
delinquent	a.疏忽职务的
delirious	a.精神错乱的
delirium	n.精神错乱
deliver	v.救出；投递
delta	n.三角洲
delude	v.欺骗，哄骗
deluge	n.大洪水；暴雨
delusion	n.欺骗，幻想
delusive	a.欺骗的
deluxe	a.高级的
delve	v.深入探究，钻研
delve(into)	v.深入探究,钻研
demagogue	n.蛊惑民心的政客
demand	v.要求，苛求
demanding	a.苛刻的，过分要求的
demarcate	v．划分，划界
demean	v.贬抑，降低（身份）
demeanor	n．举止，行为
demeanour	n.行为
demented	a.精神错乱的
demesne	n.领地，范围
demise	n.死亡；财产转让
demobilization	n.遣散(军人);复员
demobilize	v．遣散（军人），复员
democracy	n.民主政治；民主国家
democratic	a.民主政体的，民主作风的；民众的
demographic	a.人口统计的,人口学的
demography	n.人口统计，人口学
demolish	v.破坏；拆除
demolition	n.破坏，毁坏
demoniac	a.魔鬼的
demonic	a.恶魔般的
demonstrable	a.可论证的,可表明的
demonstrate	v.证明，论证；示威
demonstrative	a.证明性的；喜怒形于色的
demoralize	v.使士气低落
demote	v.降级，降职
demotic	a.民众的，通俗的
demur	v.表示异议，反对
demure	adj．严肃的，矜持的
demystify	v.弄清楚
den	n.兽穴，窝
denationalization	n.非国有化
denial	n.否定
denigrate	v.污蔑，诽谤
denim	n.粗斜纹棉布
denizen	n.居民；外籍居民
denominate	v．命名，取名
denomination	n.命名；(长度，币值的)单位
denominator	n.分母
denotation	n.指示
denote	v.表示；指示意义
denouement	n.(小说的)结尾，结局
denounce	v.指责
dense	a.密集的，稠密的；(烟、雾等)浓密的
density	n.密度;稠密;密集
dent	n.缺口，凹痕；v.弄凹
dental	a.牙齿的，牙科的
dentist	n.牙科医生
dentition	n.出牙,长牙;［动］牙系,
denture	n.假牙
denude	v.脱去；剥蚀；剥夺
denunciate	v.公开指责
denunciation	n.谴责，斥责
denunciatory	a.指责的,谴责的,恐吓的
deny	v.否认；拒绝给予
depart	vi.离开
dependent	a.依靠的;依赖的
depict	v.描绘，描画
deplete	v.倒空；耗尽
depletion	n.耗尽,弄空;［医］减液,放血
deplorable	a.应受严厉谴责的
deplore	v.悲悼，哀叹
deploy	v.［军］展开,调度,部署
deport	v.(将外国人、罪犯等)驱逐出境
deportation	n.驱逐出境
deportment	n（尤指少女的）风度，举止
depose	v.免职；作证
deposit	v.存放；储蓄；(使)沉淀；放下 n.存款
deposition	n.免职；沉积；作证
depot	n.货栈, 仓库
depraved	a.堕落的，腐化的
depravity	n.堕落，恶习
deprecate	v.反对，轻视
depreciate	v.轻视；贬值
depreciation	n.贬低
depredation	n．劫掠，蹂躏
depress	v.降低,使抑郁
depressant	a.有镇静作用的
depressed	a.消沉的；凹陷的
depression	n.忧愁，消沉；数量减少
deprivation	n.剥夺；缺乏
deprive	v.剥夺，使丧失；免去…的职务
depute	v．派…为代表或代理
deputize	v.担任代表
deputy	n.代表；副警长
deracinate	v.根除，杜绝
derange	v.扰乱；使精神错乱
deranged	a.精神错乱的，有精神病的
derangement	n．精神错乱
derelict	a.荒废的；玩忽职守的；n.被(社会、家庭)遗弃的人
dereliction	n.遗弃，弃置
deride	v.（轻蔑）嘲笑，愚弄
derision	n.嘲笑,嘲笑的目标,笑柄
derisive	adj．嘲弄的
derivation	n.发展，起源；词源
derivative	a.派生的；无创意的
derive	v.派生;推知
dermatologist	n.皮肤病学家
dermatology	n.皮肤（病）学
derogate	v.贬低，诽谤
derogatory	a.不敬的，诽谤的
desalinize	v．除去盐份
descant	n.合唱，详述
descend	v.下来，下降
descendant	n.后代，后裔
descent	n.降落；突然侵袭；血统
description	n.描写，描述；说明书；作图
descry	v.远远看到，望见
deseam	v.除去表面上的缺陷
desecrate	v.玷辱，亵渎
desegregation	n.取消种族隔离
desert	v.放弃，离弃
deserted	a.荒芜的，无人的
deserter	n.背弃者，逃亡者
desertion	n.离弃，遗弃
deserve	v.应受到，值得
desiccant	n．干燥剂
desiccate	v.(使)完全干涸，脱水
desideratum	n．必需品，要求
design	v.设计；计划 n.图纸；设计，构思；图案
designate	v.指定，选派, 任命
designation	n.指定；名称，称呼
designer	n.设计者，构思者
designing	adj.狡猾的;蓄意的
desirable	a.值得要的
desire	n.渴望;热望;欲望
desirous	adj．渴望的
desist	v.停止，中止
desktop	n.［计算机］桌面系统,背景
desolate	adj．荒凉的，被遗弃的
despair	n.&vi.绝望
despatch	v.1.派遣，发送2.迅速处理
desperado	n.亡命之徒
desperate	a.不顾死活的，拼命的
despicable	a.可鄙的，卑劣的
despise	v.鄙视，藐视
despoil	v．夺取，抢夺
despondent	a.失望的，意气消沉的
despot	n.暴君
despotic	a.专横的，暴虐的
despotism	n.专制，暴政
dessert	n.甜食，点心
destination	n.目的地
destine	v.命定，注定；预定，指定
destined	v.预定
destiny	n.命运
destitute	adj．贫乏的，穷困的
destitution	n.匮乏，穷困
destructible	a.可破坏的
destruction	n．毁坏，毁灭（的原因）
destructive	a.破坏性的
desuetude	n．废止，不用
desultory	a.不连贯的，散乱的
detach	v.分离...，拆下...；(士兵、舰船)派遣，分遣
detached	a.分开的；公平的，中立的
detachment	n．分离、超然、公平
detail	n.细节，详情；枝节 v.详述，详细说明
detain	v.拘留；使延迟
detect	v.察觉，发现；侦察
detectable	a.可觉察的
detection	n.查出，探获
detective	a.侦察(用)的 n.侦探
detente	n.(国际关系等的)缓和(
deter	v.威慑，吓住；阻止
detergent	a.洗涤的，去污的；n.清洁剂
deteriorate	v.(使)变坏，恶化
deterioration	n.恶化，堕落
determinant	n.决定因素；a.决定性的
determinate	a.限定的
determination	n.决心；确定；预测
determine	v.决定；决心；测定，确定
deterrent	n.制止(因素),威慑物
detest	v.深恶，憎恶
detestable	a.令人厌恶的
detonate	v．（使）爆炸，引爆
detonation	n.爆炸(声)
detour	n.弯路；绕行之路
detoxicate	v.除毒，解毒
detract	v.诽谤，贬低
detraction	n.贬低，诽谤
detractor	n.贬低者
detriment	n．损害，伤害
detrimental	a.损害的，造成伤害的
detritus	n.碎屑；废墟
deuterium	(U) 『化学』氘,重氢 (heavy hydrogen)
devastate	v.摧毁，破坏
devastating	adj．破坏性的
devastation	n.毁坏，破坏
develop	v.发展;成长
deviance	(U) 逸出正轨,偏差
deviant	a.越出常规的
deviate	v.越轨，脱离
deviation	n.背离正道
device	n.设计，手段；谋略，诡计；装置，设备
devious	a.不正直的；弯曲的
devise	v.发明，设计；图谋；遗赠给
devoid	a.空的；缺少的
devolution	n.委托，移交
devolve	v.(权力)下放：移交
devote	v.把…奉献(给)，致力于
devoted	a.投入的，热爱的
devotee	n.爱好者
devotion	n．献身，热爱，虔诚
devotional	a.献身的，崇拜的
devour	v.吞食；贪婪地看
devout	a.(对宗教)虔敬的；(对事业)忠诚的，忠心的
dew	n.露;露水
dexterity	n.纯熟，灵巧
dexterous	a.灵巧的，熟练的
diabetes	n.糖尿病
diabolic	adj.魔鬼似的，残忍的
diabolical	a.恶毒的，狠毒的
diadem	n.王冠，王权，带状头饰
diagnose	v.判断，诊断
diagnosis	n.诊断；调查分析
diagonal	a.对角的；n.对角线
diagram	n.图解，图表
dial	n.(钟表等的)针盘；刻度盘 v.拨(电话号码)
dialect	n.方言
dialectic	n.辩证法adj.辨证的
dialogue	n.对话;谈话
diameter	n.直径
diamond	n.金刚石;钻石
diaper	n.婴儿尿布
diaphanous	a.精致的，透明的
diaphragm	n. 横隔膜,控光装置
diapir	n.［地］挤入构造
diarrhea	腹泻
diarrhoea	n.腹泻
diatectal	a.方言的
diatribe	n.(口头或书面猛烈的)抨击
dichotomy	n.二分;本质对立
dicker	v.争论，争执
dictate	v.口述；命令
dictator	n．独裁者
dictatorial	adj.独裁的, 专断的
diction	n.措辞；用语
dictum	n．格言、声明
didactic	a.教诲的；说教的
didactics	n．教学法
die	n.金属模子，印模
die out	逐渐消亡;灭绝
die-hard	a.顽固的
diehard	n.顽固分子
diesel	n.内燃机,柴油机
diet	n.饮食，食物；规定饮食 v.(使)节食
dietetics	n．饮食学，营养学
dietician	n.饮食学家
differ	vi.不同；意见不同
difference	n.差
differentiate	v.辨别，区别
diffident	a.缺乏自信的
diffuse	v.扩散；(光等)漫射；a.四散的；漫射的
diffusion	n．传播，散布
digest	n.文摘，摘要 v.消化；吸收，领会
digestion	n.消化，吸收
digit	n.手指，足趾；数字，数码
digital	audiotape
digital audiotape	n.数字录音带
dignified	adj.有尊严的，庄严的，高贵的
dignify	v.使尊荣，使显贵
dignitary	n.高官，显要，要员
dignity	n.尊严，尊贵
digress	v.离题
digression	n.离题，题外话
dike	n.堤；排水沟
dilapidate	v.(使)荒废，(使)毁坏
dilapidated	a.破旧的，倒塌的
dilapidation	n．破旧、荒废
dilate	v.(身体某部位)张大，扩大
dilatory	a.慢吞吞的，磨蹭的
dilemma	n.困境，左右为难
dilettante	n.业余爱好者
diligence	n.勤勉，勤奋
diligent	a.勤奋的
dillydally	vi.磨磨蹭蹭
dilute	v.把(液体)弄稀，弄淡
dilution	v.稀释,渗水
dim	v.使暗淡，使模糊
dimension	n.维度，尺寸
diminish	v.减少,减弱,
diminuendo	n．（音乐）渐弱
diminution	n.减少，缩减
diminutive	adj．小巧可爱的
dimple	n.酒窝，笑靥
din	n.喧闹声，嘈杂声
dine	v.吃饭;招待...吃饭;(房子,桌子)可容...吃饭)
dinghy	n．无篷小船、小艇
dingy	a.肮脏的；褪色的
dinosaur	n.恐龙
diocesan	a.教区的
dioxide	n.二氧化物,
dip	n.
diphtheria	n.［医］白喉［症］
diploma	n.文凭
diplomacy	n.外交
diplomat	n.外交家
diplomatic	a.外交的；圆滑的
dipsomania	n．嗜酒狂
dire	a.可怕的
direct	a.径直的
directive	n.命令,指令;指挥机,
directory	n.通讯录；(规则、指令等)指南；目录
direful	adj．可怕的，可怖的
dirge	n.（葬礼）哀歌
dirk	n.短剑，匕首
disable	v.使丧失能力，使残废
disabuse	v.打消(某人的)错误念头；纠正
disaffect	v.使不满；使不忠
disaffected	adj．（政治上）不满的，叛离的
disaffection	n．政治上不满，叛离
disagreeable	a.不愉快的；难以相处的，乖戾的
disarm	v.使…解除武器；使…缓和
disarming	v.使缴械
disarrange	v.打乱，搅乱
disarray	n.混乱，漫无秩序
disaster	n.灾难，大不幸
disastrous	adj．灾难性的
disavow	v.不承认,抵赖,拒绝对...承担责任
disband	v．解散（团体）
disbar	v.取消律师资格
disbarment	n．取消律师资格
disburse	v.支付，支出
disbursement	n．支出，开支
disc	n.圆盘，唱片，磁盘，圆面；盘状软骨
discard	v.扔掉，抛弃
discern	v.(费劲)识别，看出
discernable	a.可辨别的
discernible	a.可识别的，依稀可辨的
discerning	a.识别力强的
discernment	n．眼光、洞察力
discharge	v.流出；释放；解雇；履行义务
disciple	n.信徒，弟子
disciplinarian	n．严行纪律的人，严师
discipline	v.(自律)训练，训导；n.纪律；惩罚，处分
disclaim	v.放弃权利；拒绝承认
disclaimer	n.不承担责任的声明
disclose	v.使某物显露
discography	n.唱片分类目录；录音音乐研究
discombobulate	v.扰乱，使困惑
discombobulated	a.扰乱的，打乱的
discomfit	v.使懊恼；使难堪
discomfited	a.困惑的，尴尬的
discomfiture	n.狼狈，难堪
discommode	v.使烦恼，扰乱
discompose	v.使失态，慌张
discomposure	n．失态，慌张
disconcert	v.使…尴尬
disconsolate	adj.忧郁的, 绝望的, 特别悲伤的
discontented	adj．不满足的，不满意的
discord	n.不和，纷争
discordant	adj．不一致的，不调和的
discount	n.折扣
discourse	n.长篇演讲、论述
discourteous	adj．不恭的，不敬的
discredit	v.使不相信，使怀疑；n.丧失名誉
discreet	a.言行谨慎的
discrepancy	n.不同，矛盾
discrete	a.个别的；不连续的
discretion	n.谨慎，审慎
discretionary	a.自由决定的
discriminate	v.区分；歧视
discriminating	adj．有辨别能力的
discrimination	n.歧视,偏见
discriminatory	a.歧视的，差别待遇的
discursive	a.（表达）散漫的，无层次的
discussion	n.讨论，议论
disdain	n./v.轻视，鄙视
disdainful	adj．鄙视的
disembark	v.登陆
disembodied	a.无实体的，空洞的
disembody	v.使脱离肉体
disenchant	v.对…不再抱幻想，使清醒
disencumber	v．排除（障碍），摆脱（负担）
disenfranchise	v.剥夺....的公民权
disengage	v.脱离，解开
disengaged	adj．空闲的，无公务在身的
disentangle	v.解决，解脱，解开，澄清
disfigure	v.毁容
disfranchise	v．剥夺…的权力（尤指选举权）
disgorge	v.呕出；(水)流走
disgraceful	a.可耻的
disgruntle	v.使不满意
disgruntled	adj.心境不佳的，不满的
disguise	v.假扮；掩饰
disgust	n.反感，厌恶
dishearten	v.使...气馁，使...沮丧
dishevel	v.使蓬乱
disheveled	adj.凌乱的，不整洁的
disillusion	v.梦想破灭，醒悟
disinclination	n.不愿意
disinclined	adj．不愿的
disinfect	v.杀菌，消毒
disinfectant	n.消毒剂
disingenuous	adj．不坦白的，不真诚的
disintegrate	v．分裂成小片，瓦解
disintegration	n.碎裂
disinter	v.挖出，挖掘
disinterested	a.公正的，客观的
disjointed	adj．脱节的，杂乱的
disjunction	n.分离，分裂
disjunctive	a.分离的，相反的
dislocate	v.使脱臼；把…弄乱
dislocation	脱节，动乱
dislodge	v.逐出，取出
dismal	a.使人悲伤的，阴沉的
dismantle	v.拆除
dismay	n.沮丧，气馁；v.使气馁
dismember	v.割下(动物)肢;肢解;割裂;瓜分
dismiss	v.解雇；解散 vi.解散
disorder	n.不适,异常;不舒服
disorient	v.使迷失方位;使迷惑
disparage	v.贬抑，轻蔑
disparaging	a.贬抑的,轻蔑的
disparate	a.迥然不同的
